TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
0.9% W/V SODIUM CHLORIDE B.P,SODIUM CHLORIDE,5,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,10/6/2024
ORS New (10 SACHET),"SODIUM CHLORIDE,POTASSIUM CHLORIDE,TRI SODIUM CITRATE,DEXTROSE",-,-,Generic,OTC,SAUDI PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,11/26/2024
OSELTA 75MG CAPSULES,OSELTAMIVIR,-,-,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,8/24/2023
ORATAB 100MG F.C. TABLETS,SUMATRIPTAN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,2/28/2023
OPTIPRED 1% OPTHALMIC SUSP.,PREDNISOLONE,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,10/16/2024
OPTIMOL 0.5% OPHTHALMIC SOLUTION,TIMOLOL MALEATE,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,5/22/2023
OPTIMOL 0.25% OPHTHALMIC SOLUTION,TIMOLOL MALEATE,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/29/2023
OPTIZOLIN OPTHALMIC SOLUTION,"ANTAZOLINE HYDROCHLORIDE,TETRAHYDROZOLINE",10,ml,Generic,OTC,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,9/14/2023
ORATAB 100 mg,SUMATRIPTAN,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,8/29/2022
OPTILONE 0.1% OPTHALMIC SUSPENTION,FLUOROMETHOLONE,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/14/2023
PANADOL EXTRA TAB,"PARACETAMOL,CAFFEINE CITRATE",-,-,NCE,OTC,AJA PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,6/19/2025
PANTOMAX 40MG E.C.TABLETS,PANTOPRAZOLE,-,-,Generic,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,10/30/2024
PANTOMAX 20MG E.C. TABLETS,PANTOPRAZOLE,-,-,Generic,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,8/29/2022
PANTOMAX 20MG E.C. TABLETS,PANTOPRAZOLE,-,-,Generic,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,8/29/2022
PANTOLOC 40MG TABLETS,PANTOPRAZOLE,-,-,Generic,Prescription,BATTERJEE PHARMACETICAL FACTORY,Saudi Arabia,Valid,7/9/2025
RIAPANTA 40 mg E.C. tablet,PANTOPRAZOLE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,3/30/2023
RIAPANTA 40 mg E.C. tablet,PANTOPRAZOLE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,8/29/2022
PANTOMAX 40MG E.C.TABLETS,PANTOPRAZOLE,-,-,Generic,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,10/30/2024
PANADOL COLD & FLU CAPLET,"PARACETAMOL,PSEUDOEPHEDRINE HYDROCHLORIDE,CHLORPHENIRAMINE MALEATE",-,-,Generic,OTC,GLAXO SAUDI ARABIA,Saudi Arabia,Valid,10/8/2024
PANADOL BABY & INFANT SUSP 120MG-5ML,PARACETAMOL,100,ml,Generic,OTC,AJA PHARMACEUTICAL INDUSTRIES,Saudi Arabia,Valid,6/4/2025
PARAFON,"CHLORZOXAZONE,PARACETAMOL",-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,5/22/2024
OPTIFLOX OPTHALMIC SOLUTION,OFLOXACIN,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,3/27/2023
OFLAM 50MG GRANULES FOR ORAL SOLUTION,DICLOFENAC POTASSIUM,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,2/28/2023
OCURED,"ANTAZOLINE SULFATE,NAPHAZOLINE NITRATE",10,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/18/2022
OCUMOL 0.5%,TIMOLOL MALEATE,5,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,8/29/2022
OCULAC,"SODIUM CHLORIDE,HYPROMELLOSE 2208 (750 MPA.S)",10,ml,Generic,OTC,RIYADH PHARMA,Saudi Arabia,Valid,3/30/2023
OCUGESIC,DICLOFENAC SODIUM,5,ml,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,2/28/2024
OLAZINE 10MG FILM COATED TABLETS,OLANZAPINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
OLAZINE 15MG FILM COATED TABLETS,OLANZAPINE,-,-,Generic,Prescription,RIYADH PHARMA,Saudi Arabia,Valid,11/26/2024
OLOPAT 0.1% OPHTHALMIC SOLUTION,OLOPATADINE,5,ml,Generic,Prescription,Jamjoom Pharmaceuticals Factory Company,Saudi Arabia,Valid,10/16/2024
OLMETEC PLUS 40MG-25MG F.C. TABLETS,"OLMESARTAN MEDOXOMIL,HYDROCHLOROTHIAZIDE",-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,10/30/2024
OLMETEC PLUS 40MG-12.5MG F.C. TABLETS,"OLMESARTAN MEDOXOMIL,HYDROCHLOROTHIAZIDE",-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,10/30/2024
OLMETEC PLUS 20MG-12.5MG F.C. TABLETS,"OLMESARTAN MEDOXOMIL,HYDROCHLOROTHIAZIDE",-,-,NCE,Prescription,SAJA-SAUDI ARABIAN JAPANESE PHARMACEUTICAL CO,Saudi Arabia,Valid,10/30/2024
